"","fish.id","date","lat","lon","section","TL.mm","TL.cm","Wt","species","notes","PSD","substock","stock","quality","preferred","memorable","trophy"
"1",1,"3/13/2007",31.25,-81.85833333,"3",835,83.5,"7.5","Flathead Catfish","Mark2007","preferred",0,0,0,1,0,0
"2",2,"3/13/2007",31.24055556,-81.86416667,"3",734,73.4,"5.2","Flathead Catfish","Mark2007","preferred",0,0,0,1,0,0
"3",3,"3/13/2007",31.24055556,-81.86416667,"3",405,40.5,"0.653","Flathead Catfish","Mark2007","stock",0,1,0,0,0,0
"4",4,"3/21/2007",31.22638889,-81.86666667,"3",360,36,"0.45","Flathead Catfish","Mark2007","stock",0,1,0,0,0,0
"5",5,"3/21/2007",31.24027778,-81.86444444,"3",615,61.5,"2.6","Flathead Catfish","Mark2007","quality",0,0,1,0,0,0
"6",6,"3/21/2007",31.22638889,-81.86666667,"3",689,68.9,"4","Flathead Catfish","Mark2007","quality",0,0,1,0,0,0
"7",7,"3/21/2007",31.22638889,-81.86666667,"3",535,53.5,"1.8","Flathead Catfish","Mark2007","quality",0,0,1,0,0,0
"8",8,"3/21/2007",31.22638889,-81.86666667,"3",893,89.3,"8.5","Flathead Catfish","Mark2007","memorable",0,0,0,0,1,0
"9",9,"3/21/2007",31.22638889,-81.86666667,"3",824,82.4,"7.8","Flathead Catfish","Mark2007","preferred",0,0,0,1,0,0
"10",10,"3/21/2007",31.22638889,-81.86666667,"3",628,62.8,"2.4","Flathead Catfish","Mark2007","quality",0,0,1,0,0,0
"11",11,"3/21/2007",31.22277778,-81.86777778,"3",638,63.8,"3","Flathead Catfish","Mark2007","quality",0,0,1,0,0,0
"12",12,"3/21/2007",31.22277778,-81.86777778,"3",614,61.4,"2.2","Flathead Catfish","Mark2007","quality",0,0,1,0,0,0
"13",13,"3/21/2007",31.22277778,-81.86777778,"3",605,60.5,"2.45","Flathead Catfish","Mark2007","quality",0,0,1,0,0,0
"14",14,"3/21/2007",31.22277778,-81.86777778,"3",736,73.6,"5.1","Flathead Catfish","Mark2007","preferred",0,0,0,1,0,0
"15",15,"3/21/2007",31.22277778,-81.86777778,"3",621,62.1,"2.9","Flathead Catfish","Mark2007","quality",0,0,1,0,0,0
"16",16,"3/23/2007",31.20416667,-81.86888889,"4",425,42.5,"0.719","Flathead Catfish","Mark2007","stock",0,1,0,0,0,0
"17",17,"3/23/2007",31.20416667,-81.86888889,"4",656,65.6,"2.9","Flathead Catfish","Mark2007","quality",0,0,1,0,0,0
"18",18,"3/23/2007",31.20416667,-81.86888889,"4",790,79,"6","Flathead Catfish","Mark2007","preferred",0,0,0,1,0,0
"19",19,"3/23/2007",31.20416667,-81.86888889,"4",604,60.4,"2.6","Flathead Catfish","Mark2007","quality",0,0,1,0,0,0
"20",20,"3/23/2007",31.20416667,-81.86888889,"4",731,73.1,"4.6","Flathead Catfish","Mark2007","preferred",0,0,0,1,0,0
"21",21,"3/23/2007",31.20416667,-81.86888889,"4",690,69,"4.6","Flathead Catfish","Mark2007","quality",0,0,1,0,0,0
"22",22,"3/23/2007",31.20416667,-81.86888889,"4",694,69.4,"3.6","Flathead Catfish","Mark2007","quality",0,0,1,0,0,0
"23",23,"3/23/2007",31.20416667,-81.86888889,"4",381,38.1,"0.462","Flathead Catfish","Mark2007","stock",0,1,0,0,0,0
"24",24,"3/23/2007",31.18361111,-81.87527778,"4",765,76.5,"5.3","Flathead Catfish","Mark2007","preferred",0,0,0,1,0,0
"25",25,"3/23/2007",31.18361111,-81.87527778,"4",760,76,"5.8","Flathead Catfish","Mark2007","preferred",0,0,0,1,0,0
"26",26,"3/23/2007",31.18361111,-81.87527778,"4",717,71.7,"4.6","Flathead Catfish","Mark2007","preferred",0,0,0,1,0,0
"27",27,"3/23/2007",31.18361111,-81.87527778,"4",1050,105,"12.5","Flathead Catfish","Mark2007","trophy",0,0,0,0,0,1
"28",28,"3/23/2007",31.18361111,-81.87527778,"4",810,81,"8.3","Flathead Catfish","Mark2007","preferred",0,0,0,1,0,0
"29",29,"3/23/2007",31.18361111,-81.87527778,"4",900,90,"10","Flathead Catfish","Mark2007","memorable",0,0,0,0,1,0
"30",30,"3/23/2007",31.18361111,-81.87527778,"4",630,63,"4.1","Flathead Catfish","Mark2007","quality",0,0,1,0,0,0
"31",31,"3/23/2007",31.18361111,-81.87527778,"4",755,75.5,"4.6","Flathead Catfish","Mark2007","preferred",0,0,0,1,0,0
"32",32,"3/23/2007",31.18361111,-81.87527778,"4",805,80.5,"7","Flathead Catfish","Mark2007","preferred",0,0,0,1,0,0
"33",33,"3/23/2007",31.18361111,-81.87527778,"4",760,76,"5.8","Flathead Catfish","Mark2007","preferred",0,0,0,1,0,0
"34",34,"3/23/2007",31.18361111,-81.87527778,"4",622,62.2,"2.6","Flathead Catfish","Mark2007","quality",0,0,1,0,0,0
"35",35,"3/23/2007",31.18361111,-81.87527778,"4",661,66.1,"3","Flathead Catfish","Mark2007","quality",0,0,1,0,0,0
