fish_id,date,lat,lon,section,TL,Wt,notes
1,3/13/07,31.25,-81.85833333,3,835,7.5,Mark2007
2,3/13/07,31.24055556,-81.86416667,3,734,5.2,Mark2007
3,3/13/07,31.24055556,-81.86416667,3,405,0.653,Mark2007
4,3/21/07,31.22638889,-81.86666667,3,360,0.45,Mark2007
5,3/21/07,31.24027778,-81.86444444,3,615,2.6,Mark2007
6,3/21/07,31.22638889,-81.86666667,3,689,4,Mark2007
7,3/21/07,31.22638889,-81.86666667,3,535,1.8,Mark2007
8,3/21/07,31.22638889,-81.86666667,3,893,8.5,Mark2007
9,3/21/07,31.22638889,-81.86666667,3,824,7.8,Mark2007
10,3/21/07,31.22638889,-81.86666667,3,628,2.4,Mark2007
11,3/21/07,31.22277778,-81.86777778,3,638,3,Mark2007
12,3/21/07,31.22277778,-81.86777778,3,614,2.2,Mark2007
13,3/21/07,31.22277778,-81.86777778,3,605,2.45,Mark2007
14,3/21/07,31.22277778,-81.86777778,3,736,5.1,Mark2007
15,3/21/07,31.22277778,-81.86777778,3,621,2.9,Mark2007
16,3/23/07,31.20416667,-81.86888889,4,425,0.719,Mark2007
17,3/23/07,31.20416667,-81.86888889,4,656,2.9,Mark2007
18,3/23/07,31.20416667,-81.86888889,4,790,6,Mark2007
19,3/23/07,31.20416667,-81.86888889,4,604,2.6,Mark2007
20,3/23/07,31.20416667,-81.86888889,4,731,4.6,Mark2007
21,3/23/07,31.20416667,-81.86888889,4,690,4.6,Mark2007
22,3/23/07,31.20416667,-81.86888889,4,694,3.6,Mark2007
23,3/23/07,31.20416667,-81.86888889,4,381,0.462,Mark2007
24,3/23/07,31.18361111,-81.87527778,4,765,5.3,Mark2007
25,3/23/07,31.18361111,-81.87527778,4,760,5.8,Mark2007
26,3/23/07,31.18361111,-81.87527778,4,717,4.6,Mark2007
27,3/23/07,31.18361111,-81.87527778,4,1050,12.5,Mark2007
28,3/23/07,31.18361111,-81.87527778,4,810,8.3,Mark2007
29,3/23/07,31.18361111,-81.87527778,4,900,10,Mark2007
30,3/23/07,31.18361111,-81.87527778,4,630,4.1,Mark2007
31,3/23/07,31.18361111,-81.87527778,4,755,4.6,Mark2007
32,3/23/07,31.18361111,-81.87527778,4,805,7,Mark2007
33,3/23/07,31.18361111,-81.87527778,4,760,5.8,Mark2007
34,3/23/07,31.18361111,-81.87527778,4,622,2.6,Mark2007
35,3/23/07,31.18361111,-81.87527778,4,661,3,Mark2007
36,3/23/07,31.18361111,-81.87527778,4,695,3.6,Mark2007
37,3/23/07,31.16638889,-81.86694444,4,665,3.8,Mark2007
38,3/23/07,31.16638889,-81.86694444,4,426,0.802,Mark2007
39,3/23/07,31.16638889,-81.86694444,4,670,3.5,Mark2007
40,3/23/07,31.16638889,-81.86694444,4,633,3,Mark2007
41,3/23/07,31.16638889,-81.86694444,4,459,1.07,Mark2007
42,3/23/07,31.16027778,-81.85916667,4,628,3.2,Mark2007
43,3/23/07,31.16027778,-81.85916667,4,610,2.8,Mark2007
44,3/27/07,31.15888889,-81.85861111,5,718,4.8,Mark2007
45,3/27/07,31.15888889,-81.85861111,5,740,4.7,Mark2007
46,3/27/07,31.15888889,-81.85861111,5,760,5.2,Mark2007
47,3/27/07,31.15888889,-81.85861111,5,680,4,Mark2007
48,3/27/07,31.15888889,-81.85861111,5,830,6.7,Mark2007
49,3/27/07,31.15888889,-81.85861111,5,551,1.5,Mark2007
50,3/27/07,31.15888889,-81.85861111,5,866,8.5,Mark2007
51,3/27/07,31.15888889,-81.85861111,5,580,1.9,Mark2007
52,3/27/07,31.15888889,-81.85861111,5,630,2.8,Mark2007
53,3/27/07,31.15888889,-81.85861111,5,710,3.6,Mark2007
54,3/27/07,31.15888889,-81.85861111,5,411,0.522,Mark2007
55,3/27/07,31.15888889,-81.85861111,5,391,0.471,Mark2007
56,3/27/07,31.15888889,-81.85861111,5,455,0.814,Mark2007
57,3/27/07,31.14222222,-81.86472222,5,1060,21.5,Mark2007
58,3/27/07,31.14222222,-81.86472222,5,1033,15,Mark2007
59,3/27/07,31.14222222,-81.86472222,5,890,12.5,Mark2007
60,3/27/07,31.14222222,-81.86472222,5,930,15.8,Mark2007
61,3/27/07,31.14222222,-81.86472222,5,890,10,Mark2007
